# id E
1.645000000000000000e+04 -1.633778560538009915e+05
1.664200000000000000e+04 -1.633779603055850021e+05
1.645100000000000000e+04 -1.633778554176129983e+05
1.645200000000000000e+04 -1.633778235772989865e+05
1.645400000000000000e+04 -1.633779920835820085e+05
1.645500000000000000e+04 -1.633778202452730038e+05
1.645700000000000000e+04 -1.633778746391269960e+05
1.301500000000000000e+04 -1.633778182082090061e+05
1.633800000000000000e+04 -1.633778998649799905e+05
1.228700000000000000e+04 -1.633779046691689873e+05
1.229000000000000000e+04 -1.633778209932750033e+05
1.645600000000000000e+04 -1.633779609564610000e+05
1.647400000000000000e+04 -1.633779877254070016e+05
1.645900000000000000e+04 -1.633778974532060092e+05
1.091700000000000000e+04 -1.633777873644230131e+05
1.157600000000000000e+04 -1.633776723254180106e+05
1.137000000000000000e+03 -1.633776993991660129e+05
1.184000000000000000e+03 -1.633777401074229856e+05
1.663800000000000000e+04 -1.633777313630830031e+05
1.663900000000000000e+04 -1.633777827253470023e+05
1.664000000000000000e+04 -1.633777074769230094e+05
1.666300000000000000e+04 -1.633777231365469925e+05
1.687900000000000000e+04 -1.633777560773610021e+05
1.687600000000000000e+04 -1.633777181155339931e+05
1.941000000000000000e+03 -1.633780912135459948e+05
1.645300000000000000e+04 -1.633777265908870031e+05
1.647000000000000000e+04 -1.633777523119460093e+05
1.647200000000000000e+04 -1.633780905027170083e+05
1.666400000000000000e+04 -1.633777260817759961e+05
1.666500000000000000e+04 -1.633779911189620034e+05
1.647100000000000000e+04 -1.633780785873949935e+05
1.647300000000000000e+04 -1.633778413073470001e+05
1.229400000000000000e+04 -1.633779054954670137e+05
1.229500000000000000e+04 -1.633778538077409903e+05
1.647500000000000000e+04 -1.633777858609659888e+05
1.648400000000000000e+04 -1.633779759652919893e+05
1.141000000000000000e+03 -1.633777054658060079e+05
1.185000000000000000e+03 -1.633776934976319899e+05
1.186000000000000000e+03 -1.633777485763430013e+05
1.690700000000000000e+04 -1.633777237446260115e+05
1.233000000000000000e+03 -1.633777140753839922e+05
1.229000000000000000e+03 -1.633779977542939887e+05
1.230000000000000000e+03 -1.633777743113170145e+05
1.232000000000000000e+03 -1.633777481561719906e+05
1.270000000000000000e+03 -1.633778901517140039e+05
1.990000000000000000e+03 -1.633777792041779903e+05
1.648500000000000000e+04 -1.633780031049019890e+05
1.991000000000000000e+03 -1.633779546468390035e+05
1.992000000000000000e+03 -1.633778533683260030e+05
1.993000000000000000e+03 -1.633779247276140086e+05
1.994000000000000000e+03 -1.633777449864319933e+05
1.995000000000000000e+03 -1.633779049014759948e+05
2.035000000000000000e+03 -1.633779066674009955e+05
2.037000000000000000e+03 -1.633776682895710110e+05
2.786000000000000000e+03 -1.633779013332340110e+05
1.161200000000000000e+04 -1.633777038604360132e+05
1.232100000000000000e+04 -1.633777422465840064e+05
1.158900000000000000e+04 -1.633777994128520077e+05
1.190000000000000000e+03 -1.633777492547610018e+05
1.998000000000000000e+03 -1.633779015742320044e+05
2.830000000000000000e+03 -1.633779400507590035e+05
2.040000000000000000e+03 -1.633776480256679934e+05
2.832000000000000000e+03 -1.633779133225909900e+05
2.869000000000000000e+03 -1.633780163835969870e+05
2.870000000000000000e+03 -1.633776640136629867e+05
1.232400000000000000e+04 -1.633779256303510047e+05
1.232500000000000000e+04 -1.633776542737229902e+05
1.232600000000000000e+04 -1.633779659296729951e+05
1.232700000000000000e+04 -1.633778842858780117e+05
1.235800000000000000e+04 -1.633778714212409977e+05
1.161800000000000000e+04 -1.633779429961240094e+05
1.235500000000000000e+04 -1.633777497621350049e+05
1.235600000000000000e+04 -1.633776618316870008e+05
1.165100000000000000e+04 -1.633776688488179934e+05
2.871000000000000000e+03 -1.633780712841500062e+05
2.873000000000000000e+03 -1.633776386214990052e+05
2.874000000000000000e+03 -1.633776302376330132e+05
3.688000000000000000e+03 -1.633779118986300018e+05
3.689000000000000000e+03 -1.633780956912249967e+05
3.690000000000000000e+03 -1.633776813709329872e+05
3.718000000000000000e+03 -1.633780517867759918e+05
1.165000000000000000e+04 -1.633776953524480050e+05
1.165200000000000000e+04 -1.633776528946509934e+05
1.165400000000000000e+04 -1.633777963237079966e+05
1.235900000000000000e+04 -1.633776629935679957e+05
1.236000000000000000e+04 -1.633778484083219955e+05
1.236300000000000000e+04 -1.633776460865740082e+05
1.240300000000000000e+04 -1.633776766625820019e+05
1.309600000000000000e+04 -1.633779683006890118e+05
1.101800000000000000e+04 -1.633777021525870077e+05
1.169000000000000000e+04 -1.633777170803170011e+05
3.693000000000000000e+03 -1.633779664661609859e+05
3.719000000000000000e+03 -1.633780352394870133e+05
1.240600000000000000e+04 -1.633778738596919866e+05
4.513000000000000000e+03 -1.633779432805129909e+05
4.514000000000000000e+03 -1.633779331869629968e+05
1.236200000000000000e+04 -1.633777526209639909e+05
4.455800000000000000e+04 -1.633780022128399869e+05
4.527800000000000000e+04 -1.633778446687330143e+05
1.169100000000000000e+04 -1.633776899792109907e+05
4.443500000000000000e+04 -1.633776955395010009e+05
1.169300000000000000e+04 -1.633777030605920008e+05
1.173600000000000000e+04 -1.633777152851129940e+05
1.240400000000000000e+04 -1.633777398239799950e+05
4.449700000000000000e+04 -1.633776859297860065e+05
4.521900000000000000e+04 -1.633777734119920060e+05
4.455600000000000000e+04 -1.633777498636640084e+05
4.455700000000000000e+04 -1.633778086836950097e+05
1.240700000000000000e+04 -1.633779912581109966e+05
4.522000000000000000e+04 -1.633778911644059990e+05
1.645800000000000000e+04 -1.633779533581330033e+05
1.664700000000000000e+04 -1.633779205824290111e+05
1.665000000000000000e+04 -1.633777299649500055e+05
1.665200000000000000e+04 -1.633776882651950000e+05
1.646100000000000000e+04 -1.633777483651780058e+05
1.646500000000000000e+04 -1.633777062274389900e+05
1.647600000000000000e+04 -1.633779179511370021e+05
1.647700000000000000e+04 -1.633776256511289976e+05
1.647900000000000000e+04 -1.633778146837849927e+05
1.665100000000000000e+04 -1.633779167589719873e+05
1.667200000000000000e+04 -1.633778907436880108e+05
1.665400000000000000e+04 -1.633778932009430137e+05
1.667600000000000000e+04 -1.633778682521140145e+05
1.091800000000000000e+04 -1.633777399044909980e+05
1.648300000000000000e+04 -1.633778398575310130e+05
1.648200000000000000e+04 -1.633776603078730113e+05
3.921600000000000000e+04 -1.633778192154699937e+05
1.688100000000000000e+04 -1.633777350502609916e+05
1.691100000000000000e+04 -1.633777267445340112e+05
1.666800000000000000e+04 -1.633779940773120034e+05
1.647800000000000000e+04 -1.633779248015639896e+05
1.648600000000000000e+04 -1.633778598719470028e+05
1.666900000000000000e+04 -1.633777352262439963e+05
1.667300000000000000e+04 -1.633776630509379902e+05
1.667400000000000000e+04 -1.633780021254860039e+05
1.668400000000000000e+04 -1.633779696213789866e+05
1.668800000000000000e+04 -1.633780108854600112e+05
1.669000000000000000e+04 -1.633778142231499951e+05
1.648700000000000000e+04 -1.633776056407449942e+05
